G?BDDw 	independence=5 	domination=3
G?BDBw 	independence=5 	domination=2
G?BDFK 	independence=5 	domination=3
G?BDEk 	independence=5 	domination=3
G?BDBk 	independence=5 	domination=3
G?BDC{ 	independence=5 	domination=3
G?BDA{ 	independence=5 	domination=2
G?BDFw 	independence=5 	domination=2
G?BDFk 	independence=5 	domination=2
G?BDE{ 	independence=5 	domination=2
G?BDB{ 	independence=5 	domination=2
G?BDF{ 	independence=5 	domination=1
G?B@e? 	independence=5 	domination=4
G?B@f? 	independence=5 	domination=4
G?B@eO 	independence=5 	domination=3
G?B@dO 	independence=5 	domination=3
G?B@eG 	independence=5 	domination=3
G?B@dG 	independence=5 	domination=4
G?B@`g 	independence=5 	domination=4
G?B@cW 	independence=5 	domination=3
G?B@`W 	independence=5 	domination=3
G?B@cK 	independence=5 	domination=4
G?B@_[ 	independence=5 	domination=3
G?B@f_ 	independence=5 	domination=4
G?B@fO 	independence=5 	domination=3
G?B@fG 	independence=5 	domination=3
G?B@dg 	independence=5 	domination=4
G?B@eW 	independence=5 	domination=2
G?B@dW 	independence=5 	domination=3
G?B@`w 	independence=5 	domination=3
G?B@eK 	independence=5 	domination=3
G?B@dK 	independence=5 	domination=4
G?B@c[ 	independence=5 	domination=3
G?B@fo 	independence=5 	domination=3
G?B@fg 	independence=5 	domination=3
G?B@fW 	independence=5 	domination=2
G?B@dw 	independence=5 	domination=3
G?B@fK 	independence=5 	domination=3
G?B@e[ 	independence=5 	domination=2
G?B@d[ 	independence=5 	domination=3
G?B@fw 	independence=5 	domination=2
G?B@fk 	independence=5 	domination=2
G?B@f[ 	independence=5 	domination=2
G?B@f{ 	independence=5 	domination=1
G?BFF? 	independence=5 	domination=5
G?BFE_ 	independence=5 	domination=4
G?BFEG 	independence=5 	domination=4
G?BF@g 	independence=5 	domination=3
G?BF?w 	independence=5 	domination=2
G?BFF_ 	independence=5 	domination=4
G?BFEo 	independence=5 	domination=3
G?BFDo 	independence=5 	domination=3
G?BFFG 	independence=5 	domination=4
G?BFEg 	independence=5 	domination=3
G?BFDg 	independence=5 	domination=3
G?BFCw 	independence=5 	domination=2
G?BF@w 	independence=5 	domination=2
G?BFFC 	independence=5 	domination=4
G?BFEc 	independence=5 	domination=4
G?BFFo 	independence=5 	domination=3
G?BFFg 	independence=5 	domination=3
G?BFEw 	independence=5 	domination=2
G?BFDw 	independence=5 	domination=2
G?BFFc 	independence=5 	domination=3
G?BFEs 	independence=5 	domination=3
G?BFDs 	independence=5 	domination=2
G?BFFK 	independence=5 	domination=3
G?BFEk 	independence=5 	domination=3
G?BFDk 	independence=5 	domination=3
G?BFC{ 	independence=5 	domination=2
G?BF@{ 	independence=5 	domination=2
G?BFFw 	independence=5 	domination=2
G?BFFs 	independence=5 	domination=2
G?BFFk 	independence=5 	domination=2
G?BFE{ 	independence=5 	domination=2
G?BFD{ 	independence=5 	domination=2
G?BFF{ 	independence=5 	domination=1
G?BDb_ 	independence=5 	domination=4
G?BDbO 	independence=5 	domination=3
G?BDbG 	independence=5 	domination=3
G?BDaW 	independence=5 	domination=2
G?BD`W 	independence=5 	domination=3
G?BDf_ 	independence=5 	domination=4
G?BDfO 	independence=5 	domination=3
G?BDdo 	independence=5 	domination=3
G?BDbo 	independence=5 	domination=3
G?BDfG 	independence=5 	domination=3
G?BDdg 	independence=5 	domination=4
G?BDbg 	independence=5 	domination=3
G?BDeW 	independence=5 	domination=2
G?BDdW 	independence=5 	domination=3
G?BDbW 	independence=5 	domination=2
G?BD`w 	independence=5 	domination=3
G?BDfC 	independence=5 	domination=4
G?BDdc 	independence=5 	domination=3
G?BDbc 	independence=5 	domination=3
G?BDeS 	independence=5 	domination=3
G?BDdS 	independence=5 	domination=3
G?BDbS 	independence=5 	domination=3
G?BDeK 	independence=5 	domination=3
G?BDfo 	independence=5 	domination=3
G?BDfg 	independence=5 	domination=3
G?BDfW 	independence=5 	domination=2
G?BDdw 	independence=5 	domination=3
G?BDbw 	independence=5 	domination=2
G?BDfc 	independence=5 	domination=3
G?BDfS 	independence=5 	domination=3
G?BDds 	independence=5 	domination=2
G?BDbs 	independence=5 	domination=2
G?BDfK 	independence=5 	domination=3
G?BDdk 	independence=5 	domination=3
G?BDbk 	independence=5 	domination=3
G?BDe[ 	independence=5 	domination=2
G?BDd[ 	independence=5 	domination=3
G?BDb[ 	independence=5 	domination=2
G?BD`{ 	independence=5 	domination=2
G?BDfw 	independence=5 	domination=2
G?BDfs 	independence=5 	domination=2
G?BDfk 	independence=5 	domination=2
G?BDf[ 	independence=5 	domination=2
G?BDd{ 	independence=5 	domination=2
G?BDb{ 	independence=5 	domination=2
G?BDf{ 	independence=5 	domination=1
G?B@v? 	independence=5 	domination=3
G?B@t_ 	independence=5 	domination=3
G?B@po 	independence=5 	domination=3
G?B@uG 	independence=5 	domination=2
G?B@v_ 	independence=5 	domination=3
G?B@to 	independence=5 	domination=3
G?B@vG 	independence=5 	domination=2
G?B@tg 	independence=5 	domination=3
G?B@pw 	independence=5 	domination=3
G?B@vC 	independence=5 	domination=3
G?B@tc 	independence=5 	domination=3
G?B@ps 	independence=5 	domination=2
G?B@uK 	independence=5 	domination=2
G?B@tK 	independence=5 	domination=3
G?B@vo 	independence=5 	domination=3
G?B@vg 	independence=5 	domination=2
G?B@tw 	independence=5 	domination=3
G?B@vc 	independence=5 	domination=3
G?B@ts 	independence=5 	domination=2
G?B@vK 	independence=5 	domination=2
G?B@tk 	independence=5 	domination=3
G?B@p{ 	independence=5 	domination=2
G?B@vw 	independence=5 	domination=2
G?B@vs 	independence=5 	domination=2
