FCZ~o 	independence=3 	domination=2
FCZ~w 	independence=3 	domination=1
FCdb? 	independence=3 	domination=3
FCde_ 	independence=3 	domination=3
FCdco 	independence=3 	domination=2
FCdeG 	independence=3 	domination=3
FCdbG 	independence=3 	domination=2
FCdcg 	independence=4 	domination=3
FCdf_ 	independence=3 	domination=3
FCdeo 	independence=3 	domination=2
FCdfG 	independence=3 	domination=2
FCdeg 	independence=3 	domination=3
FCdcw 	independence=3 	domination=2
FCdfo 	independence=3 	domination=2
FCdfg 	independence=3 	domination=2
FCdew 	independence=3 	domination=2
FCdfw 	independence=3 	domination=1
FCe[w 	independence=3 	domination=3
FCe^o 	independence=3 	domination=2
FCe]w 	independence=3 	domination=2
FCe^w 	independence=3 	domination=1
FCfvo 	independence=3 	domination=2
FCfvg 	independence=3 	domination=2
FCfvW 	independence=3 	domination=2
FCfuw 	independence=3 	domination=2
FCfvw 	independence=3 	domination=1
FCf^o 	independence=3 	domination=2
FCf]w 	independence=3 	domination=2
FCf\w 	independence=3 	domination=2
FCf^w 	independence=3 	domination=1
FCf~o 	independence=3 	domination=2
FCf~w 	independence=3 	domination=1
FCzf_ 	independence=3 	domination=3
FCzfO 	independence=3 	domination=3
FCzbo 	independence=3 	domination=2
FCzeW 	independence=3 	domination=3
FCzbW 	independence=3 	domination=2
FCzcw 	independence=3 	domination=2
FCzaw 	independence=3 	domination=2
FCzfo 	independence=3 	domination=2
FCzfW 	independence=3 	domination=2
FCzew 	independence=3 	domination=2
FCzbw 	independence=3 	domination=2
FCzfw 	independence=3 	domination=1
FCxv? 	independence=3 	domination=3
FCxv_ 	independence=3 	domination=3
FCxvO 	independence=3 	domination=2
FCxuW 	independence=3 	domination=2
FCxrW 	independence=3 	domination=3
FCxsw 	independence=3 	domination=2
FCxvo 	independence=3 	domination=2
FCxvW 	independence=3 	domination=2
FCxuw 	independence=3 	domination=2
FCxvw 	independence=3 	domination=1
FCzro 	independence=3 	domination=2
FCzvo 	independence=3 	domination=2
FCzvg 	independence=3 	domination=2
FCzrw 	independence=3 	domination=2
FCzvw 	independence=3 	domination=1
FCzno 	independence=3 	domination=2
FCznW 	independence=3 	domination=2
FCzmw 	independence=3 	domination=2
FCzjw 	independence=3 	domination=2
FCznw 	independence=3 	domination=1
FCz^o 	independence=3 	domination=2
FCz^g 	independence=3 	domination=2
FCz]w 	independence=3 	domination=2
FCz\w 	independence=3 	domination=2
FCz^w 	independence=3 	domination=1
FCx}w 	independence=3 	domination=2
FCx~w 	independence=3 	domination=1
FCz~w 	independence=3 	domination=1
FCvfO 	independence=3 	domination=3
FCveo 	independence=3 	domination=2
FCvdo 	independence=3 	domination=2
FCvbo 	independence=3 	domination=2
FCvfG 	independence=3 	domination=2
FCveg 	independence=3 	domination=3
FCvdg 	independence=3 	domination=2
FCvbg 	independence=3 	domination=2
FCvdW 	independence=3 	domination=2
FCvbW 	independence=3 	domination=2
FCvcw 	independence=3 	domination=2
FCvaw 	independence=3 	domination=2
FCv`w 	independence=3 	domination=2
FCvfo 	independence=3 	domination=2
FCvfg 	independence=3 	domination=2
FCvfW 	independence=3 	domination=2
FCvew 	independence=3 	domination=2
FCvdw 	independence=3 	domination=2
FCvbw 	independence=3 	domination=2
FCvfw 	independence=3 	domination=1
FCvUo 	independence=3 	domination=3
FCvUW 	independence=3 	domination=3
FCvRW 	independence=3 	domination=2
FCvSw 	independence=3 	domination=3
FCvVo 	independence=3 	domination=2
FCvVW 	independence=3 	domination=2
FCvUw 	independence=3 	domination=2
FCvTw 	independence=3 	domination=2
FCvVw 	independence=3 	domination=1
FCuto 	independence=3 	domination=3
FCuuW 	independence=3 	domination=2
FCurW 	independence=3 	domination=2
FCusw 	independence=3 	domination=3
FCuvo 	independence=3 	domination=2
FCuvW 	independence=3 	domination=2
FCuuw 	independence=3 	domination=2
FCuvw 	independence=3 	domination=1
FCvvo 	independence=3 	domination=2
FCvvg 	independence=3 	domination=2
FCvtw 	independence=3 	domination=2
FCvvw 	independence=3 	domination=1
FCv^o 	independence=3 	domination=2
FCv]w 	independence=3 	domination=2
FCv\w 	independence=3 	domination=2
FCv^w 	independence=3 	domination=1
FCu~w 	independence=3 	domination=1
FCv~w 	independence=3 	domination=1
FC~vo 	independence=3 	domination=2
FC~vW 	independence=3 	domination=2
FC~uw 	independence=3 	domination=2
FC~vw 	independence=3 	domination=1
FC~~w 	independence=3 	domination=1
FErvo 	independence=3 	domination=2
FErvg 	independence=3 	domination=2
FErvW 	independence=3 	domination=2
